1,Airey,,Leading Aircraftman ,FX86811,1944-04-14,,851 Squadran (RN),Celon,Avenger 1c,,,
2,Alberry,Albert Edward,W/Officer,565846,1944-03-06,28,,Doncaster Adwick le Street,,,,Died from injuriesfrom a road collision. He was riding a motor-cycle and hit an approaching vehicle
3,Allonby,Arthur,LAC,1017481,1944-04-29,28,2 Group Comms,Askern,Spitfire,MB902,Benson,Struck by 542 Sqd Aircraft
4,Anne,Robert,P/O Pilot,60338,1941-06-30,21,TTU,Burgwallis Hall (private),Beaufort 1,W6539,Abbotsinch,Crashed Flying low overRowbank reservoir near Lochwinnock
5,Armitage,Robert Brian,Sgt. Pilot,1545136,1943-08-25,20,3 PAFU,Denby Dale ,Oxford 1,MP415,,Crashed on overshoot at Long Newton
6,Ash,Bertram,LAC,944309,1940-08-15,22,102 Sqn,Dinnington,,,,"Killed in an enemy air raid on RAF Driffield, Yorkshire, 15 August 1940, along with seven other airmen"
7,Austin,VMS,LAC,535414,1941-11-15,23,957 BBSq,Bentley with Arskey,,,,
8,Bailey,Walter Hibbard,Sgt. Pilot,1381194,1942-03-29,27,54 O.T.U,Bolton Upon Dearne,Blenheim 4,N3561,,"Accident at Sherburn n Elmet,Yorkshire"
9,Barber,Charles Bertram,,,,,,Finningley,,,,
10,Barker,Desmond Wallace Ferguson,,,,,,Finningley,,,,
11,Bates,George,LAC,635389,1942-11-10,21,8 AGS,Darfield,Botha 1,L6535,Evanton,Engine failure ditced in Cromarty Firth nr Invergordon
12,Beck,Richard Colvin Seddon,,,,,,Finningley,,,,
13,Bell,Harry,Sgt.Obs,1527170,1942-12-04,34,19 O.T.U.,Dodworth,Whitley 5,EB387,Kinloss,Day training Recalled because of the weather only to crash into trees just short of the main runway
14,Bingham,Robert Byron,,,,,,Finningley,,,,
15,Blair,Kenneth Hughes DFC,Wing Commander,,1953-10-31,35,,Doncaster Hatfield,,,,Died on 31st October 1953 from polio while serving at RAF Lindholme.
16,Bonest,Harry Edwin,,,,,,Finningley,,,,
17,Boucher,Thomas Gerald,,,,,,Finningley,,,,
18,Breach,Reginald George Andrew,Flt/Sgt W/Op,1324079,1945-03-15,33,207 Sqn.,Conisbrough,Lancaster 1,LL902 EM-A,Spilsby,Operation Lutzkendorf. Poor visability on return crashed near Little Rissington airfield after being diverted
19,Broadbridge,Roland Percival,,,,,,Finningley,,,,
20,Brook,Eric,Sgt (AB0),658265,1943-02-15,26,28BOTU,Birtin/Oughtibridge,Wellington 1c,N2809 -H,Castle Donnington,Training crashed on return in snow Whitwick Leicestershire
21,Brown,David James,Corporal,1037536,1945-06-15,24,Ferry Command,Creswell,Liberator CIX,JT985 RY-3,RAF Holmsley,On route to Palam India but RTB with loss of fuel pressure. Crashed into Dorset Coastal Path. All crew and 22 passengers perished.
22,Brown,Carol Herbert,P/O Pilot,155367,1943-12-14,24,271 Sqn,Doncaster Rose Hill,,,,
23,Brownlee,Colin Crawford,,,,,,Finningley,,,,
24,Buchanan,Alexander Gibson,Flt Sgt,R58102,1942-01-06,23,102 sqn,Doncaster Rose Hill,Whitley 5,Z9289 DY-,Dalton,Operaton Brest. Turned back from Cherbourg after starboard engine failure. Caught fire and crashed at Barnsley while trying to force land after order to bale out had been given
25,Buckley,Fred,Cpl,1017575,1946-08-02,32,,Doncaster Denaby Main,,,,died adter a 7 month illness  a post-mortem examination was performed on him a pin was found embedded in his liver.
26,Burt,RP,Sgt (obs),R64717,1941-06-08,33,11 BOTU,Brandes Burton,Wellington 1,R1728,Steeple Morden,Night exercise lost at sea Sgt Burt and Sgt Hare found dead in a dingy
27,Byres,J,Cpl,208776,2018-10-02,34,,Doncaster Hyde Park,,,,
28,Bywater,Maurice,P/O Pilot,83243,1940-10-10,20,107 sqn,Doncaster Rose Hill,Blenheim 4,T1881 OM-,Wattisham,Training. Flew into trees at Wicken close to Ely
29,Caldwell,Anthony Steel,2nd Lt RFC,,2017-05-04,26,,Doncaster Hyde Park,,,,
30,Campbell,Alexander,Observer,974217,1941-06-18,19,50 Sqn,Hatfield Woodhouse,Hampden 1,P4389 VN-,Lindholme,Air test Crashed almost immediately in a field beyond the airfield.
